round,accuracy,compute_energy,communication_energy,total_energy,carbon_emissions
1,0.0496,0.28049999999999997,10.305724999999999,10.586224999999999,0.0006399670506124096
2,0.8062,0.19879999999999998,7.420121999999999,7.6189219999999995,0.0005689179674843875
3,0.8893,0.1266,4.9467479999999995,5.073348,0.00042338007591717766
4,0.916,0.12899999999999998,4.9467479999999995,5.075748,0.0006748266486566243
5,0.932,0.20619999999999997,7.420121999999999,7.626322,0.0003653774152222398
6,0.9374,0.16770000000000002,6.183434999999999,6.351135,0.0004956681309907856
7,0.9458,0.1558,5.771205999999999,5.9270059999999996,0.0003033796250995665
8,0.9543,0.1627,6.183434999999999,6.346135,0.000465490472286619
9,0.9581,0.12659999999999996,4.9467479999999995,5.073348,0.00040911436454527274
10,0.9621,0.271,9.893495999999999,10.164496,0.0009798488893829962
11,0.9646,0.15559999999999996,5.771205999999999,5.926805999999999,0.0006650144113732506
12,0.966,0.20829999999999999,7.832350999999999,8.040650999999999,0.0006389312696541555
13,0.9688,0.20829999999999999,7.832350999999999,8.040650999999999,0.0005872203574487341
14,0.9709,0.32399999999999995,11.542411999999999,11.866412,0.0011219015874856736
15,0.9725,0.22779999999999997,8.24458,8.47238,0.0007634024774426596
16,0.9733,0.12209999999999999,4.5345189999999995,4.656618999999999,0.0003814885191995995
17,0.9726,0.2228,8.24458,8.46738,0.0008705474292443531
18,0.9744,0.20119999999999996,7.420121999999999,7.621322,0.000503864794332326
19,0.9774,0.153,5.771205999999999,5.924206,0.0005832860956484249
20,0.9763,0.20829999999999999,7.832350999999999,8.040650999999999,0.000766990641683846
21,0.9776,0.15819999999999998,5.771205999999999,5.929406,0.0003568573308639103
22,0.9791,0.1245,4.5345189999999995,4.659019,0.0005022481028760236
23,0.9767,0.19879999999999998,7.420121999999999,7.6189219999999995,0.0006208128370108845
24,0.9794,0.2299,8.656808999999999,8.886708999999998,0.0005211664984332939
25,0.9803,0.2494,9.069037999999999,9.318438,0.0008331962263138197
26,0.9803,0.22779999999999997,8.24458,8.47238,0.000860569557025148
27,0.9805,0.1867,7.007892999999999,7.194592999999999,0.0005681560869744703
28,0.9822,0.21780000000000002,8.24458,8.46238,0.0007592171877957516
29,0.9833,0.1582,5.771205999999999,5.929405999999999,0.0004712157650608106
30,0.9823,0.271,9.893495999999999,10.164496,0.0008193280475853262
