round,accuracy,compute_energy,communication_energy,total_energy,carbon_emissions
1,0.0667,0.22280000000000003,8.24458,8.467379999999999,0.00048576088910025805
2,0.8022,0.1893,7.007892999999999,7.197193,0.0004535496554448185
3,0.8943,0.271,9.893495999999999,10.164496,0.0006408194959739549
4,0.9235,0.1772,6.595663999999999,6.772864,0.00039954595353997057
5,0.9423,0.2468,9.069037999999999,9.315838,0.0006713089969639023
6,0.9476,0.15319999999999998,5.771205999999999,5.924405999999999,0.0006009766328518605
7,0.953,0.17719999999999997,6.595663999999999,6.772863999999999,0.0006280419220877111
8,0.9607,0.1822,6.595663999999999,6.777864,0.0007986223968899878
9,0.9628,0.23729999999999998,8.656808999999999,8.894108999999998,0.0006640968316076545
10,0.9658,0.1893,7.007892999999999,7.1971929999999995,0.0007033330612372427
11,0.9701,0.1701,6.183434999999999,6.353535,0.0007000651806734039
12,0.9702,0.1772,6.595663999999999,6.772863999999999,0.0005250779186314768
13,0.9709,0.2254,8.24458,8.469979999999998,0.0004980388970345744
14,0.9742,0.25179999999999997,9.069037999999999,9.320837999999998,0.0007059080326853125
15,0.9742,0.2083,7.832350999999999,8.040651,0.0003760425155295216
16,0.9755,0.1316,4.9467479999999995,5.078348,0.0006548642557188558
17,0.9771,0.18929999999999997,7.007892999999999,7.1971929999999995,0.0004076946177165491
18,0.9767,0.11259999999999999,4.12229,4.23489,0.0003454721214390385
19,0.9769,0.2349,8.656808999999999,8.891708999999999,0.0005050296672195684
20,0.9795,0.0955,3.7100609999999996,3.805561,0.00031540721056177827
21,0.9797,0.25179999999999997,9.069037999999999,9.320837999999998,0.0007399723165174786
22,0.9803,0.12659999999999996,4.9467479999999995,5.073347999999999,0.00030257464171194303
23,0.9796,0.2684,9.893495999999999,10.161895999999999,0.0006623843767005511
24,0.9812,0.2012,7.420121999999999,7.621321999999999,0.00043722781085989094
25,0.9815,0.17720000000000002,6.595663999999999,6.772863999999999,0.00044544074775844985
26,0.9818,0.2038,7.420121999999999,7.623922,0.00048334870745511964
27,0.9842,0.1316,4.9467479999999995,5.078348,0.0005077627026952576
28,0.982,0.18219999999999997,6.595663999999999,6.777863999999999,0.00036623781676830246
29,0.9826,0.15819999999999998,5.771205999999999,5.929406,0.0003517279789486807
30,0.9823,0.17720000000000002,6.595663999999999,6.772863999999999,0.0003654816697078046
